Status,Side,Time,Local,Dirty Price,Yield,Quantity,MinInc,SetDt,EBND Seller Broker Code,EBND Buyer Broker Code,Price,Bid Type,UserName,Account,Seq#,Brkr,System #,Net,Security (ASX),Security,ISIN
Open,S,10:10:37,MH22024,,3.7455,10000000,,06/10/2021,,BRSV,114,,BRANDY LAUREANO,,34,BRSV,,11644315.07,DRGB 10 1/4 01/11/24,DRGB 10 1/4 01/11/24,DO1005206623
Open,S,10:09:30,MH12026,,4.3804,10000000,,06/10/2021,,BRSV,123.8,,BRANDY LAUREANO,,33,BRSV,,12465273.97,DRGB 10 3/8 03/06/26,DRGB 10 3/8 03/06/26,DO1005205013
Open,S,10:09:18,MH22026,,4.3938,10000000,,06/10/2021,,BRSV,125,,BRANDY LAUREANO,,32,BRSV,,12750273.97,DRGB 10 7/8 01/14/26,DRGB 10 7/8 01/14/26,DO1005205112
Open,S,10:09:02,MH32026,,4.5867,10000000,,05/10/2021,,BRSV,128.8,,BRANDY LAUREANO,,31,BRSV,,13338082.19,DRGB 11 11/06/26,DRGB 11 11/06/26,DO1005205310
Open,S,10:08:54,MH42026,,4.5808,10000000,,06/10/2021,,BRSV,129.2,,BRANDY LAUREANO,,30,BRSV,,13293698.63,DRGB 11 12/04/26,DRGB 11 12/04/26,DO1005205419
Open,S,10:08:44,BSDR2026,,4.7717,10000000,,30/09/2021,,BRSV,120.65,,BRANDY LAUREANO,,29,BRSV,,12376458.33,DOMREP 9 3/4 06/05/26,DOMREP 9 3/4 06/05/26,USP3579ECD78
Open,S,10:08:35,MH12027,,5.2124,10000000,,06/10/2021,,BRSV,127.8,,BRANDY LAUREANO,,28,BRSV,,12971095.89,DRGB 11 1/4 02/05/27,DRGB 11 1/4 02/05/27,DO1005205617
Open,S,10:08:16,BSDR2026,,4.7977,10000000,,30/09/2021,,TIVA,120.5291,,RAFAEL PENA,,3,TIVA,,12364368.33,DOMREP 9 3/4 06/05/26,DOMREP 9 3/4 06/05/26,USP3579ECD78
Open,S,10:07:57,MH42028,,5.3727,10000000,,01/10/2021,,BRSV,114.6,,BRANDY LAUREANO,,27,BRSV,,11705479.45,DRGB 8 06/11/28,DRGB 8 06/11/28,DO1005208728
Open,S,10:07:50,MH32028,,5.367,10000000,,01/10/2021,,BRSV,130.55,,BRANDY LAUREANO,,26,BRSV,,13208150.68,DRGB 10 3/4 08/11/28,DRGB 10 3/4 08/11/28,DO1005206516
Open,S,10:07:39,MH12029,,5.5835,10000000,,06/10/2021,,BRSV,136,,BRANDY LAUREANO,,25,BRSV,,13886712.33,DRGB 11 3/8 07/06/29,DRGB 11 3/8 07/06/29,DO1005204412
Open,S,10:07:09,MH22029,,5.6175,10000000,,05/10/2021,,BRSV,133,,BRANDY LAUREANO,,24,BRSV,,13741780.82,DRGB 10 3/4 11/08/29,DRGB 10 3/4 11/08/29,DO1005207027
